City, Country,Continent,Population (2024),Population (2023),Growth Rate
Yichang,China,Asia,1758100,1711244,0.0274
Liaoyang,China,Asia,916238,900692,0.0173
Enugu,Nigeria,Africa,875552,846560,0.0342
Amravati,India,Asia,808263,792620,0.0197
Barcelona,Spain,Europe,5711917,5687356,0.0043
Sulaimaniya,Iraq,Asia,823199,800793,0.028
Kananga,DR Congo,Africa,1738716,1664442,0.0446
Leon De Los Aldamas,Mexico,North America,1924435,1898749,0.0135
Vereeniging,South Africa,Africa,802900,793927,0.0113
Panzhihua,China,Asia,750036,738495,0.0156
Benguela,Angola,Africa,843207,809468,0.0417
Moscow,Russia,Asia,12712305,12680389,0.0025
Shijiazhuang,China,Asia,4454132,4370473,0.0191
Tyumen,Russia,Asia,916862,903815,0.0144
Suining Sichuan,China,Asia,765887,750097,0.0211
Solapur,India,Asia,1088131,1070322,0.0166
Astana,Kazakhstan,Asia,1324111,1291280,0.0254
Cali,Colombia,South America,2890433,2863730,0.0093
Hangzhou,China,Asia,8419842,8237206,0.0222
Tanger,Morocco,Africa,1348848,1314178,0.0264
Weihai,China,Asia,1465926,1429315,0.0256
Xalapa,Mexico,North America,822863,811041,0.0146
Guadalajara,Mexico,North America,5499678,5419880,0.0147
Shiraz,Iran,Asia,1742750,1720954,0.0127
Meishan,China,Asia,818037,796756,0.0267
Dandong,China,Asia,932648,917936,0.016
Denpasar,Indonesia,Asia,1075244,1053041,0.0211
Daegu,South Korea,Asia,2179929,2180997,-0.0005
Samara,Russia,Asia,1154451,1155732,-0.0011
Oran,Algeria,Africa,950768,935947,0.0158
Pathum Thani,Thailand,Asia,962126,950048,0.0127
Rostov on Don,Russia,Asia,1139641,1138854,0.0007
Hanchuan,China,Asia,818761,795835,0.0288
Laiwu,China,Asia,1009727,986248,0.0238
Ottawa,Canada,North America,1451571,1437188,0.01
Nanning,China,Asia,4291463,4191890,0.0238
Lokoja,Nigeria,Africa,885882,839046,0.0558
Liuan,China,Asia,1427894,1378077,0.0361
Antalya,Turkey,Asia,1372400,1347240,0.0187
Akure,Nigeria,Africa,773141,744371,0.0387
Ningbo,China,Asia,4659830,4537901,0.0269
Nouakchott,Mauritania,Africa,1552146,1491958,0.0403
Xinxiang,China,Asia,1160840,1140599,0.0177
Quzhou,China,Asia,902621,871457,0.0358
Yiwu,China,Asia,1525749,1483320,0.0286
New York,United States,North America,7931147,8133522,-0.0249
Daejon,South Korea,Asia,1581705,1577436,0.0027
Xuchang,China,Asia,1091744,1063876,0.0262
Niigata,Japan,Asia,795916,797865,-0.0024
Changzhi,China,Asia,930620,910743,0.0218
Taizhou Jiangsu,China,Asia,1477600,1446810,0.0213
Malang,Indonesia,Asia,933392,919443,0.0152
Chittagong,Bangladesh,Asia,5513609,5379660,0.0249
Sydney,Australia,Oceana,5184896,5120894,0.0125
Valencia,Venezuela,South America,2007265,1983445,0.012
Ilorin,Nigeria,Africa,1063713,1030498,0.0322
Monrovia,Liberia,Africa,1735365,1678020,0.0342
Singapore,Singapore,Asia,6119203,6080859,0.0063
Zhengzhou,China,Asia,6014887,5859272,0.0266
San Luis Potosi,Mexico,North America,1292133,1273325,0.0148
Havana,Cuba,Africa,2152518,2148930,0.0017
Mandalay,Myanmar,Asia,1563021,1531860,0.0203
Zaozhuang,China,Asia,1150859,1133629,0.0152
Ar Rayyan,Qatar,Asia,815869,798382,0.0219
Yuxi,China,Asia,774356,750102,0.0323
Cancun,Mexico,North America,1045005,1022604,0.0219
Mombasa,Kenya,Africa,1495223,1440396,0.0381
Londrina,Brazil,South America,932892,922425,0.0113
Weifang,China,Asia,2994537,2917819,0.0263
Trujillo,Peru,South America,916632,903896,0.0141
Taiyuan Shanxi,China,Asia,4226782,4145010,0.0197
Perth,Australia,Oceania,2143491,2117997,0.012
Houston,United States,North America,2305889,2304383,0.0007
Belgrade,Serbia,Europe,1410697,1408144,0.0018
Pizhou,China,Asia,1247177,1207275,0.0331
Qingyuan,China,Asia,778628,766782,0.0154
Linfen,China,Asia,978614,951822,0.0281
Lanzhou,China,Asia,3365910,3297528,0.0207
Warsaw,Poland,Europe,1799451,1797516,0.0011
Mashhad,Iran,Asia,3415532,3367852,0.0142
Bur Sa'id,Egypt,Africa,792925,778280,0.0188
Anqiu,China,Asia,821765,791931,0.0377
Homs,Syria,Asia,1499603,1443429,0.0389
Ciudad Juarez,Mexico,North America,1604085,1582313,0.0138
Tianmen,China,Asia,978317,953768,0.0257
Kozhikode,India,Asia,4243962,4088555,0.038
Leshan,China,Asia,1116497,1087409,0.0267
Haicheng,China,Asia,834639,821192,0.0164
Baixada Santista,Brazil,South America,1965110,1947785,0.0089
Bordeaux,France,Europe,1009594,1000475,0.0091
Putian,China,Asia,2250104,2176022,0.034
Taoyuan,Taiwan,Asia,2338724,2318850,0.0086
Tegucigalpa,Honduras,North America,1609261,1568025,0.0263
Tijuana,Mexico,North America,2297216,2259787,0.0166
N Djamena,Chad,Africa,1655618,1592324,0.0397
Gwalior,India,Asia,1508846,1475016,0.0229
Haikou,China,Asia,2056646,2016092,0.0201
Mersin,Turkey,Asia,1084817,1069402,0.0144
Bangkok,Thailand,Asia,11233869,11069982,0.0148
Sapporo,Japan,Asia,2660947,2666112,-0.0019
Davao City,Philippines,Asia,1991457,1949400,0.0216
Chengde,China,Asia,1024521,993097,0.0316
Heze,China,Asia,838928,826777,0.0147
Rajkot,India,Asia,2096981,2043107,0.0264
Hamburg,Germany,Europe,1787280,1787520,-0.0001
Ahvaz,Iran,Asia,1309372,1293619,0.0122
Fuyang,China,Asia,1146343,1120694,0.0229
Ibb,Yemen,Asia,810149,771514,0.0501
Perm,Russia,Asia,1084120,1081768,0.0022
La Laguna,Mexico,North America,1826135,1780592,0.0256
Basra,Iraq,Asia,1485156,1448124,0.0256
Rosario,Argentina,South America,1613041,1594096,0.0119
Villahermosa,Mexico,North America,958118,943530,0.0155
Mangalore,India,Asia,763312,749073,0.019
Tuxtla Gutierrez,Mexico,North America,913075,897694,0.0171
Voronezh,Russia,Asia,1083724,1080808,0.0027
Antananarivo,Madagascar,Africa,4048666,3872264,0.0456
Dubai,United Arab Emirates,Asia,3051016,3007583,0.0144
Manaus,Brazil,South America,2406854,2375636,0.0131
Multan,Pakistan,Asia,2205407,2154600,0.0236
Cixi,China,Asia,1840039,1788871,0.0286
Zibo,China,Asia,2828435,2780142,0.0174
Cucuta,Colombia,South America,972485,963045,0.0098
La Paz,Bolivia,South America,1965570,1935619,0.0155
Dakar,Senegal,Africa,3540462,3429536,0.0323
Salvador,Brazil,South America,3994982,3958384,0.0092
Suqian,China,Asia,1726327,1664968,0.0369
Maoming,China,Asia,1333930,1303900,0.023
Jakarta,Indonesia,Asia,11436004,11248839,0.0166
Faisalabad,Pakistan,Asia,3800193,3710845,0.0241
Medina,Saudi Arabia,Asia,1598976,1572571,0.0168
Mwanza,Tanzania,Africa,1378014,1310754,0.0513
Brasilia,Brazil,South America,4935274,4873048,0.0128
Edmonton,Canada,North America,1567615,1544448,0.015
Karaj,Iran,Asia,1603011,1593608,0.0059
Yerevan,Armenia,Asia,1097542,1094813,0.0025
Monterrey,Mexico,North America,5195355,5116647,0.0154
Chenzhou,China,Asia,1119791,1084969,0.0321
Banghazi,Libya,Africa,870502,859209,0.0131
Yangjiang,China,Asia,976606,956079,0.0215
Amritsar,India,Asia,1480470,1451748,0.0198
Xiangyang,China,Asia,1772318,1742706,0.017
Frankfurt,Germany,Europe,800529,796437,0.0051
Moradabad,India,Asia,1335966,1301740,0.0263
Maiduguri,Nigeria,Africa,870201,844747,0.0301
Haerbin,China,Asia,6938008,6803811,0.0197
Can Tho,Vietnam,Asia,1938915,1865172,0.0395
Taiz,Yemen,Asia,974518,940600,0.0361
Fuzhou Fujian,China,Asia,3998754,3922202,0.0195
Bergamo,Italy,Europe,918675,913376,0.0058
Aguascalientes,Mexico,North America,1179301,1161448,0.0154
Goma,DR Congo,Africa,781875,744247,0.0506
Puebla,Mexico,North America,3394342,3344761,0.0148
Qom,Iran,Asia,1373800,1354174,0.0145
Shangrao,China,Asia,1130887,1106736,0.0218
Changde,China,Asia,919026,898338,0.023
Jamshedpur,India,Asia,1730521,1695060,0.0209
Taizhou Zhejiang,China,Asia,2152226,2102143,0.0238
Benin City,Nigeria,Africa,1972558,1904631,0.0357
Minsk,Belarus,Europe,2064733,2057257,0.0036
Lome,Togo,Africa,2042734,1981615,0.0308
Kampala,Uganda,Africa,4050826,3846102,0.0532
Soshanguve,South Africa,Africa,905868,892254,0.0153
Ganzhou,China,Asia,1508037,1459678,0.0331
Konya,Turkey,Asia,1429935,1407632,0.0158
Bandar Lampung,Indonesia,Asia,1186233,1162242,0.0206
Anqing,China,Asia,795987,779535,0.0211
Maputo,Mozambique,Africa,1193253,1162793,0.0262
Zhanjiang,China,Asia,1399310,1371998,0.0199
Luoyang,China,Asia,2666744,2602793,0.0246
Cuttack,India,Asia,789558,775559,0.0181
Volgograd,Russia,Asia,993352,995078,-0.0017
San Juan,Puerto Rico,North America,2436620,2439564,-0.0012
Kunshan,China,Asia,851399,826414,0.0302
Niamey,Niger,Africa,1496258,1437233,0.0411
Allahabad,India,Asia,1493346,1465152,0.0192
Guwahati,India,Asia,1199455,1176330,0.0197
Palembang,Indonesia,Asia,1852673,1818421,0.0188
Beijing,China,Asia,22189082,21766214,0.0194
Padang,Indonesia,Asia,1052849,1033645,0.0186
Sylhet,Bangladesh,Asia,999374,964291,0.0364
Handan,China,Asia,3085998,3005409,0.0268
Cape Town,South Africa,Africa,4977833,4890280,0.0179
Luohe,China,Asia,1241152,1197935,0.0361
Hohhot,China,Asia,2443686,2380636,0.0265
Bukavu,DR Congo,Africa,1308469,1248783,0.0478
Haifa,Israel,Asia,1186475,1174429,0.0103
Harare,Zimbabwe,Africa,1603201,1578128,0.0159
Uyo,Nigeria,Africa,1393453,1329284,0.0483
Lagos,Nigeria,Africa,16536018,15945912,0.037
Bareilly,India,Asia,1380715,1348664,0.0238
Seoul,South Korea,Asia,10004840,9988049,0.0017
Owerri,Nigeria,Africa,1022922,983352,0.0402
Zhenjiang Jiangsu,China,Asia,1275395,1250668,0.0198
Erduosi Ordoss,China,Asia,794143,774321,0.0256
Rome,Italy,Europe,4331974,4315671,0.0038
Toulouse,France,Europe,1070746,1060460,0.0097
Orumiyeh,Iran,Asia,848443,835900,0.015
Bekasi,Indonesia,Asia,3830678,3729351,0.0272
Mexico City,Mexico,North America,22505315,22281442,0.01
Arequipa,Peru,South America,971296,958998,0.0128
Asmara,Eritrea,Africa,1111748,1072666,0.0364
Fortaleza,Brazil,South America,4246399,4206240,0.0095
Ho Chi Minh City,Vietnam,Asia,9567656,9320866,0.0265
Barcelona Puerto La Cruz,Venezuela,South America,835805,825581,0.0124
Lahore,Pakistan,Asia,14407074,13979390,0.0306
Kabul,Afghanistan,Asia,4728384,4588666,0.0304
Chiang Mai,Thailand,Asia,1228773,1213348,0.0127
Amsterdam,Netherlands,Europe,1181817,1174025,0.0066
Taipei,Taiwan,Asia,2766334,2754196,0.0044
Kuala Lumpur,Malaysia,Asia,8815630,8621724,0.0225
Nanded Waghala,India,Asia,755577,738552,0.0231
Jining Shandong,China,Asia,1595963,1569560,0.0168
Huaihua,China,Asia,869575,843754,0.0306
Nagpur,India,Asia,3106340,3046687,0.0196
Gaomi,China,Asia,821154,797964,0.0291
Hai Phong,Vietnam,Asia,1463650,1422974,0.0286
Chelyabinsk,Russia,Asia,1243883,1240926,0.0024
Xiangtan Hunan,China,Asia,1249380,1223912,0.0208
Rabat,Morocco,Africa,1989197,1959388,0.0152
Ranchi,India,Asia,1584237,1547258,0.0239
Ipoh,Malaysia,Asia,872424,857225,0.0177
Xinyang,China,Asia,873268,855191,0.0211
Xinghua,China,Asia,882986,861978,0.0244
Tashkent,Uzbekistan,Asia,2633661,2603243,0.0117
Xuzhou,China,Asia,2332531,2287166,0.0198
Yanji,China,Asia,775672,757224,0.0244
Linhai,China,Asia,795777,776076,0.0254
Cairo,Egypt,Africa,22623874,22183201,0.0199
Melbourne,Australia,Oceana,5315600,5235407,0.0153
Yueqing,China,Asia,1201400,1169864,0.027
Hamilton,Canada,North America,786843,781047,0.0074
San Antonio,United States,North America,1506593,1489751,0.0113
Qujing,China,Asia,1066897,1038964,0.0269
Dongtai,China,Asia,756344,738200,0.0246
Lilongwe,Malawi,Africa,1333096,1276316,0.0445
Fes,Morocco,Africa,1313311,1290039,0.018
Porto Alegre,Brazil,South America,4239867,4211933,0.0066
Veracruz,Mexico,North America,968070,955226,0.0134
Leiyang,China,Asia,1013191,978327,0.0356
Jalandhar,India,Asia,1142682,1118826,0.0213
Natal,Brazil,South America,1556413,1535316,0.0137
Chongqing,China,Asia,17773923,17340704,0.025
Delhi,India,Asia,33807403,32941309,0.0263
Los Angeles,United States,North America,3748640,3785439,-0.0097
Xintai,China,Asia,1049486,1023756,0.0251
Malanje,Angola,Africa,822471,783243,0.0501
Bunia,DR Congo,Africa,856339,812090,0.0545
Bogor,Indonesia,Asia,1256155,1231445,0.0201
Abu Dhabi,United Arab Emirates,Asia,1593284,1566999,0.0168
Zhaoqing,China,Asia,1127601,1103202,0.0221
Anshan,China,Asia,1713452,1689499,0.0142
Chennai,India,Asia,12053697,11776147,0.0236
Mysore,India,Asia,1316461,1288245,0.0219
Sheffield,United Kingdom,Europe,751303,745876,0.0073
Recife,Brazil,South America,4305127,4263940,0.0097
Milan,Italy,Europe,3160631,3154570,0.0019
Krakow,Poland,Europe,769396,769417,0.0
Busan,South Korea,Asia,3477419,3471949,0.0016
Hengshui,China,Asia,983694,955663,0.0293
Ouagadougou,Burkina Faso,,3358934,3203923,0.0484
Port Elizabeth,South Africa,Africa,1312631,1295928,0.0129
Khulna,Bangladesh,Asia,965483,955104,0.0109
Gwangju,South Korea,Asia,1532902,1529472,0.0022
Athens,Greece,Europe,3154591,3154463,0.0
Nottingham,United Kingdom,,813078,806757,0.0078
Nanchang,China,Asia,4016037,3920379,0.0244
Kiev,Ukraine,Europe,3020228,3016789,0.0011
Warangal,India,Asia,1055604,1031090,0.0238
Oslo,Norway,Europe,1100868,1085992,0.0137
Merida,Mexico,North America,1239654,1220603,0.0156
Barquisimeto,Venezuela,South America,1267872,1254192,0.0109
Danyang,China,Asia,810450,789755,0.0262
Gebze,Turkey,Asia,831360,813394,0.0221
Cuernavaca,Mexico,North America,1140169,1123843,0.0145
Mecca,Saudi Arabia,Asia,2184560,2149928,0.0161
Hubli Dharwad,India,Asia,1205428,1181194,0.0205
Huainan,China,Asia,1538603,1512668,0.0171
Cabinda,Angola,Africa,947634,904676,0.0475
Manila,Philippines,Asia,14941953,14667089,0.0187
Almaty,Kazakhstan,Asia,2015209,1987301,0.014
Reynosa,Mexico,North America,967627,951417,0.017
Brussels,Belgium,Europe,2132178,2121992,0.0048
Bhubaneswar,India,Asia,1289254,1257642,0.0251
Changwon,South Korea,Asia,1055373,1054442,0.0009
Dallas,United States,North America,1295447,1297495,-0.0016
Calgary,Canada,North America,1665023,1639613,0.0155
Phnom Penh,Cambodia,Asia,2352680,2281198,0.0313
Tongliao,China,Asia,772756,756158,0.022
Dushanbe,Tajikistan,Asia,1012794,986899,0.0262
Seattle,United States,North America,757992,753624,0.0058
Winnipeg,Canada,North America,849251,841108,0.0097
Quebec City,Canada,North America,851061,844249,0.0081
Sao Jose Dos Campos,Brazil,South America,757137,749188,0.0106
Tamale,Ghana,Africa,757506,729768,0.038
Onitsha,Nigeria,Africa,1694913,1623382,0.0441
Yangzhou,China,Asia,2175102,2131291,0.0206
Malappuram,India,Asia,4184921,4009087,0.0439
Newcastle Upon Tyne,United Kingdom,,828712,823431,0.0064
Shantou,China,Asia,4656525,4573713,0.0181
Mendoza,Argentina,South America,1242319,1226427,0.013
Coimbatore,India,Asia,3083721,3009047,0.0248
Kollam,India,Asia,2181940,2106606,0.0358
Ekurhuleni,South Africa,Africa,4190832,4118327,0.0176
London,United Kingdom,Asia,9748033,9648110,0.0104
Mumbai,India,Asia,21673149,21296517,0.0177
Fukuoka,Japan,Asia,5478076,5490271,-0.0022
Siliguri,India,Asia,1159371,1126249,0.0294
Huangshi,China,Asia,893107,876930,0.0184
Douala,Cameroon,Africa,4203108,4063200,0.0344
Johor Bahru,Malaysia,Asia,1107001,1086214,0.0191
Cochabamba,Bolivia,South America,1430688,1400250,0.0217
San Jose,Costa Rica,North America,1482460,1461989,0.014
Kuwait City,Kuwait,Asia,3353602,3297759,0.0169
Baotou,China,Asia,2381242,2334878,0.0199
Kuerle,China,Asia,906765,875496,0.0357
Binzhou,China,Asia,1233584,1200222,0.0278
Guiyang,China,Asia,3661446,3580904,0.0225
Riyadh,Saudi Arabia,Asia,7820551,7682430,0.018
Ciudad Guayana,Venezuela,South America,978202,964266,0.0145
Huludao,China,Asia,836344,821132,0.0185
Tianjin,China,Asia,14470873,14238643,0.0163
Cartagena,Colombia,South America,1096463,1087599,0.0082
Changsha,China,Asia,5027975,4921487,0.0216
Kisangani,DR Congo,Africa,1483513,1423395,0.0422
Joao Pessoa,Brazil,South America,1435125,1421827,0.0094
Addis Ababa,Ethiopia,Africa,5703628,5460591,0.0445
Tripoli,Libya,Africa,1192436,1183292,0.0077
Tianshui,China,Asia,858672,837479,0.0253
Brisbane,Australia,Oceania,2536449,2504505,0.0128
Huaian,China,Asia,3071048,2979893,0.0306
Semarang,Indonesia,Asia,2013571,1975306,0.0194
Taixing,China,Asia,830623,811451,0.0236
Bacoor,Philippines,Asia,757035,739682,0.0235
Marseille,France,Europe,1635707,1627549,0.005
Zhangzhou,China,Asia,980054,955519,0.0257
Medan,Indonesia,Asia,2479070,2439054,0.0164
Yantai,China,Asia,2834508,2764584,0.0253
Antwerp,Belgium,Europe,1061089,1057215,0.0037
Wuhu Anhui,China,Asia,2195262,2124797,0.0332
Jinzhou,China,Asia,1238377,1215376,0.0189
Xiongan,China,Asia,1240158,1183042,0.0483
Tehran,Iran,Asia,9616007,9499781,0.0122
Kathmandu,Nepal,Asia,1621642,1571010,0.0322
Zhucheng,China,Asia,1019600,991208,0.0286
Baoji,China,Asia,1290231,1261077,0.0231
Amara,Iraq,Asia,753708,729276,0.0335
Hyderabad,India,Asia,11068877,10801163,0.0248
Phoenix,United States,North America,1676481,1660445,0.0097
Guayaquil,Ecuador,South America,3193267,3142466,0.0162
Dazhou,China,Asia,767532,748257,0.0258
Birmingham,United Kingdom,Europe,2684807,2665100,0.0074
Islamabad,Pakistan,Asia,1266792,1232447,0.0279
Ulaanbaatar,Mongolia,Asia,1699363,1672627,0.016
Madrid,Spain,Europe,6783241,6751374,0.0047
Nice,France,Europe,951808,948149,0.0039
Lyon,France,Europe,1774395,1761188,0.0075
Quetta,Pakistan,Asia,1221495,1190348,0.0262
Bahawalpur,Pakistan,Asia,944812,919654,0.0274
Austin,United States,North America,983126,978786,0.0044
Munich,Germany,Europe,1584507,1576416,0.0051
Dalian,China,Asia,6217487,6077995,0.023
Taian Shandong,China,Asia,1441911,1416064,0.0183
Changshu,China,Asia,1093687,1059902,0.0319
Asansol,India,Asia,1534081,1505033,0.0193
Kirkuk,Iraq,Asia,1100390,1074884,0.0237
Auckland,New Zealand,Oceania,1692770,1673220,0.0117
Mbuji Mayi,DR Congo,Africa,3022855,2891746,0.0453
Nantong,China,Asia,2555722,2492230,0.0255
Gorakhpur,India,Asia,801634,788276,0.0169
Zhuji,China,Asia,852608,834782,0.0214
Caracas,Venezuela,South America,2991727,2972145,0.0066
Rizhao,China,Asia,1426583,1391258,0.0254
Dhaka,Bangladesh,Asia,23935652,23209616,0.0313
Aurangabad,India,Asia,1725283,1683389,0.0249
Jodhpur,India,Asia,1625325,1586547,0.0244
Maturin,Venezuela,South America,775097,758185,0.0223
Sanaa,Yemen,Asia,3407814,3292497,0.035
Tangshan Hebei,China,Asia,3925206,3814702,0.029
Kottayam,India,Asia,853635,818628,0.0428
Jos,Nigeria,Africa,1001155,970129,0.032
Durg Bhilainagar,India,Asia,1289673,1266034,0.0187
Bien Hoa,Vietnam,Asia,1142997,1110824,0.029
Johannesburg,South Africa,Africa,6324351,6198016,0.0204
Pyongyang,North Korea,Asia,3183135,3157538,0.0081
Dar Es Salaam,Tanzania,Africa,8161231,7775865,0.0496
Taizhong,Taiwan,Asia,1381855,1369066,0.0093
Shenzhen,China,Asia,13311855,13072633,0.0183
Nampula,Mozambique,Africa,1012582,969322,0.0446
Surabaya,Indonesia,Asia,3088748,3044413,0.0146
Lusaka,Zambia,Africa,3324219,3181250,0.0449
Ad Dammam,Saudi Arabia,Asia,1352912,1329291,0.0178
Guiping,China,Asia,1055921,1020399,0.0348
Najaf,Iraq,Asia,987814,958487,0.0306
Chon Buri,Thailand,Asia,1472709,1454222,0.0127
Gaziantep,Turkey,Asia,1833006,1804704,0.0157
Qingdao,China,Asia,6104597,5986525,0.0197
Sargodha,Pakistan,Asia,757915,741818,0.0217
Tbilisi,Georgia,Asia,1084471,1082245,0.0021
Aden,Yemen,Asia,1116193,1079670,0.0338
Dezhou,China,Asia,1108356,1080680,0.0256
Gaza,Palestine,Asia,800636,778187,0.0288
Aligarh,India,Asia,1346018,1312369,0.0256
Medellin,Colombia,South America,4137386,4102308,0.0086
